Year,Month,Day,NorESM1-M
1981,10,14,1.97
1981,10,15,1.91
1981,10,16,1.87
1981,10,17,1.85
1981,10,18,1.83
1981,10,19,1.80
1981,10,20,1.79
1981,10,21,1.77
1981,10,22,1.71
1981,10,23,1.67
1981,10,24,1.64
1981,10,25,1.65
1981,10,26,1.65
1981,10,27,5.37
1981,10,28,3.92
1981,10,29,3.39
1981,10,30,2.42
1981,10,31,1.92
1981,11,1,1.73
1981,11,2,1.65
1981,11,3,1.60
1981,11,4,4.37
1981,11,5,3.25
1981,11,6,2.20
1981,11,7,32.13
1981,11,8,209.25
1981,11,9,220.93
1981,11,10,133.06
1981,11,11,58.70
1981,11,12,26.76
1981,11,13,15.70
1981,11,14,12.24
1981,11,15,11.56
1981,11,16,10.94
1981,11,17,44.18
1981,11,18,171.68
1981,11,19,118.04
1981,11,20,53.21
1981,11,21,27.58
1981,11,22,18.72
1981,11,23,15.86
1981,11,24,14.87
1981,11,25,14.40
1981,11,26,14.11
1981,11,27,37.33
1981,11,28,31.49
1981,11,29,21.01
1981,11,30,16.89
1981,12,1,14.66
1981,12,2,13.81
1981,12,3,13.40
1981,12,4,13.11
1981,12,5,14.07
1981,12,6,13.53
1981,12,7,12.88
1981,12,8,12.45
1981,12,9,12.15
1981,12,10,35.00
1981,12,11,20.86
1981,12,12,14.83
1981,12,13,12.68
1981,12,14,11.91
1981,12,15,11.56
1981,12,16,11.32
1981,12,17,11.12
1981,12,18,10.94
1981,12,19,10.75
1981,12,20,10.56
1981,12,21,10.38
1981,12,22,10.21
1981,12,23,10.05
1981,12,24,22.19
1981,12,25,102.89
1981,12,26,92.46
1981,12,27,43.95
1981,12,28,21.15
1981,12,29,53.91
1981,12,30,23.82
1981,12,31,15.66
1982,1,1,13.44
1982,1,2,12.77
1982,1,3,12.46
1982,1,4,12.22
1982,1,5,12.00
1982,1,6,11.79
1982,1,7,12.19
1982,1,8,34.58
1982,1,9,22.30
1982,1,10,15.31
1982,1,11,35.41
1982,1,12,84.94
1982,1,13,48.68
1982,1,14,25.35
1982,1,15,190.08
1982,1,16,294.26
1982,1,17,288.50
1982,1,18,171.97
1982,1,19,79.69
1982,1,20,43.24
1982,1,21,30.88
1982,1,22,26.92
1982,1,23,25.52
1982,1,24,24.83
1982,1,25,24.35
1982,1,26,23.95
1982,1,27,23.55
1982,1,28,23.13
1982,1,29,22.75
1982,1,30,22.38
1982,1,31,22.01
1982,2,1,21.62
1982,2,2,24.77
1982,2,3,21.90
1982,2,4,20.87
1982,2,5,20.34
1982,2,6,19.96
1982,2,7,19.61
1982,2,8,19.30
1982,2,9,18.96
1982,2,10,18.65
1982,2,11,18.34
1982,2,12,18.02
1982,2,13,18.15
1982,2,14,17.66
1982,2,15,49.86
1982,2,16,105.45
1982,2,17,59.70
1982,2,18,148.87
1982,2,19,89.09
1982,2,20,42.55
1982,2,21,27.19
1982,2,22,24.84
1982,2,23,118.64
1982,2,24,94.68
1982,2,25,45.91
1982,2,26,29.45
1982,2,27,24.30
1982,2,28,22.67
1982,3,1,21.98
1982,3,2,21.51
1982,3,3,60.72
1982,3,4,156.33
1982,3,5,88.02
1982,3,6,44.56
1982,3,7,29.69
1982,3,8,156.85
1982,3,9,176.45
1982,3,10,122.36
1982,3,11,86.48
1982,3,12,139.48
1982,3,13,288.80
1982,3,14,341.55
1982,3,15,334.61
1982,3,16,455.49
1982,3,17,514.56
1982,3,18,488.34
1982,3,19,402.36
1982,3,20,280.01
1982,3,21,198.22
1982,3,22,256.47
1982,3,23,256.86
1982,3,24,164.53
1982,3,25,103.48
1982,3,26,80.34
1982,3,27,73.33
1982,3,28,69.38
1982,3,29,68.40
1982,3,30,97.23
1982,3,31,84.90
1982,4,1,73.63
1982,4,2,67.03
1982,4,3,67.23
1982,4,4,64.16
1982,4,5,61.85
1982,4,6,124.61
1982,4,7,186.72
1982,4,8,269.88
1982,4,9,285.91
1982,4,10,287.47
1982,4,11,265.25
1982,4,12,217.61
1982,4,13,162.26
1982,4,14,118.72
1982,4,15,102.63
1982,4,16,85.00
1982,4,17,74.96
1982,4,18,75.83
1982,4,19,101.95
1982,4,20,183.75
1982,4,21,148.27
1982,4,22,117.25
1982,4,23,97.69
1982,4,24,92.60
1982,4,25,92.53
1982,4,26,80.54
1982,4,27,73.38
1982,4,28,78.59
1982,4,29,120.73
1982,4,30,107.50
1982,5,1,85.16
1982,5,2,70.79
1982,5,3,63.86
1982,5,4,60.70
1982,5,5,59.02
1982,5,6,57.80
1982,5,7,56.64
1982,5,8,55.67
1982,5,9,54.76
1982,5,10,53.90
1982,5,11,53.03
1982,5,12,52.07
1982,5,13,51.37
1982,5,14,58.35
1982,5,15,54.64
1982,5,16,50.92
1982,5,17,48.76
1982,5,18,47.49
1982,5,19,46.53
1982,5,20,64.04
1982,5,21,102.48
1982,5,22,69.97
1982,5,23,53.25
1982,5,24,46.80
1982,5,25,44.38
1982,5,26,43.20
1982,5,27,42.35
1982,5,28,41.46
1982,5,29,40.75
1982,5,30,40.16
1982,5,31,39.42
1982,6,1,38.74
1982,6,2,38.15
1982,6,3,37.44
1982,6,4,36.76
1982,6,5,36.10
1982,6,6,35.45
1982,6,7,34.97
1982,6,8,34.48
1982,6,9,33.90
1982,6,10,33.30
1982,6,11,32.74
1982,6,12,32.14
1982,6,13,31.54
1982,6,14,31.08
1982,6,15,30.64
1982,6,16,30.12
1982,6,17,29.63
1982,6,18,29.12
1982,6,19,28.63
1982,6,20,28.14
1982,6,21,27.64
1982,6,22,27.16
1982,6,23,26.66
1982,6,24,26.13
1982,6,25,25.73
1982,6,26,25.38
1982,6,27,24.98
1982,6,28,24.54
1982,6,29,24.12
1982,6,30,23.67
1982,7,1,23.26
1982,7,2,22.88
1982,7,3,22.50
1982,7,4,22.11
1982,7,5,21.72
1982,7,6,21.31
1982,7,7,20.88
1982,7,8,20.49
1982,7,9,20.14
1982,7,10,19.77
1982,7,11,19.45
1982,7,12,19.19
1982,7,13,18.87
1982,7,14,18.51
1982,7,15,18.19
1982,7,16,17.89
1982,7,17,17.64
1982,7,18,17.35
1982,7,19,17.02
1982,7,20,16.75
1982,7,21,16.49
1982,7,22,16.20
1982,7,23,15.91
1982,7,24,15.61
1982,7,25,15.34
1982,7,26,15.08
1982,7,27,14.84
