Year,Month,Day,HadGEM2-ES
1982,10,18,71.38
1982,10,19,70.49
1982,10,20,69.60
1982,10,21,68.59
1982,10,22,67.40
1982,10,23,67.80
1982,10,24,66.66
1982,10,25,70.07
1982,10,26,70.85
1982,10,27,69.59
1982,10,28,68.43
1982,10,29,67.51
1982,10,30,66.81
1982,10,31,65.99
1982,11,1,65.01
1982,11,2,63.97
1982,11,3,66.30
1982,11,4,70.49
1982,11,5,70.81
1982,11,6,70.85
1982,11,7,70.18
1982,11,8,72.51
1982,11,9,73.54
1982,11,10,72.62
1982,11,11,71.73
1982,11,12,70.71
1982,11,13,69.78
1982,11,14,68.74
1982,11,15,68.06
1982,11,16,67.45
1982,11,17,80.22
1982,11,18,90.89
1982,11,19,90.94
1982,11,20,90.67
1982,11,21,89.65
1982,11,22,91.77
1982,11,23,95.20
1982,11,24,95.20
1982,11,25,94.72
1982,11,26,94.27
1982,11,27,95.20
1982,11,28,95.20
1982,11,29,94.69
1982,11,30,95.20
1982,12,1,94.39
1982,12,2,93.97
1982,12,3,93.58
1982,12,4,93.02
1982,12,5,95.20
1982,12,6,95.20
1982,12,7,94.72
1982,12,8,94.24
1982,12,9,93.80
1982,12,10,93.46
1982,12,11,93.01
1982,12,12,92.36
1982,12,13,91.83
1982,12,14,95.20
1982,12,15,95.20
1982,12,16,94.73
1982,12,17,94.42
1982,12,18,94.11
1982,12,19,93.76
1982,12,20,93.36
1982,12,21,92.98
1982,12,22,95.20
1982,12,23,94.61
1982,12,24,94.14
1982,12,25,93.69
1982,12,26,93.24
1982,12,27,92.74
1982,12,28,92.27
1982,12,29,91.77
1982,12,30,91.23
1982,12,31,90.92
1983,1,1,90.72
1983,1,2,90.43
1983,1,3,90.07
1983,1,4,89.79
1983,1,5,89.40
1983,1,6,88.98
1983,1,7,91.84
1983,1,8,92.90
1983,1,9,92.52
1983,1,10,92.01
1983,1,11,91.60
1983,1,12,91.27
1983,1,13,90.97
1983,1,14,90.55
1983,1,15,90.15
1983,1,16,90.26
1983,1,17,89.85
1983,1,18,89.22
1983,1,19,95.20
1983,1,20,95.20
1983,1,21,94.62
1983,1,22,95.20
1983,1,23,94.77
1983,1,24,94.33
1983,1,25,93.81
1983,1,26,95.20
1983,1,27,95.20
1983,1,28,95.20
1983,1,29,95.20
1983,1,30,94.66
1983,1,31,94.16
1983,2,1,93.63
1983,2,2,93.12
1983,2,3,92.61
1983,2,4,92.11
1983,2,5,91.71
1983,2,6,91.30
1983,2,7,90.88
1983,2,8,90.45
1983,2,9,95.20
1983,2,10,94.59
1983,2,11,94.03
1983,2,12,93.59
1983,2,13,93.12
1983,2,14,92.49
1983,2,15,95.20
1983,2,16,94.57
1983,2,17,95.20
1983,2,18,95.20
1983,2,19,95.20
1983,2,20,94.58
1983,2,21,94.19
1983,2,22,93.81
1983,2,23,93.30
1983,2,24,92.87
1983,2,25,92.54
1983,2,26,92.18
1983,2,27,91.74
1983,2,28,91.08
1983,3,1,90.30
1983,3,2,95.20
1983,3,3,94.23
1983,3,4,95.20
1983,3,5,93.86
1983,3,6,92.31
1983,3,7,91.08
1983,3,8,90.44
1983,3,9,89.92
1983,3,10,89.45
1983,3,11,88.98
1983,3,12,88.44
1983,3,13,87.74
1983,3,14,86.94
1983,3,15,86.31
1983,3,16,85.73
1983,3,17,84.73
1983,3,18,83.50
1983,3,19,82.56
1983,3,20,81.78
1983,3,21,81.14
1983,3,22,80.22
1983,3,23,79.81
1983,3,24,78.53
1983,3,25,77.50
1983,3,26,76.33
1983,3,27,75.16
1983,3,28,78.23
1983,3,29,85.52
1983,3,30,84.94
1983,3,31,84.34
1983,4,1,83.72
1983,4,2,82.83
1983,4,3,81.90
1983,4,4,80.90
1983,4,5,79.90
1983,4,6,80.61
1983,4,7,89.98
1983,4,8,88.91
1983,4,9,95.20
1983,4,10,95.20
1983,4,11,93.97
1983,4,12,91.95
1983,4,13,89.61
1983,4,14,90.99
1983,4,15,92.86
1983,4,16,95.20
1983,4,17,94.10
1983,4,18,93.00
1983,4,19,92.10
1983,4,20,92.77
1983,4,21,92.05
1983,4,22,91.12
1983,4,23,89.66
1983,4,24,89.72
1983,4,25,89.01
1983,4,26,87.92
1983,4,27,86.69
1983,4,28,84.82
1983,4,29,82.74
1983,4,30,80.68
1983,5,1,78.87
1983,5,2,76.97
1983,5,3,75.28
1983,5,4,73.70
1983,5,5,71.53
1983,5,6,69.10
1983,5,7,67.19
1983,5,8,63.68
1983,5,9,61.02
1983,5,10,61.24
1983,5,11,59.45
1983,5,12,57.45
1983,5,13,56.07
1983,5,14,54.67
1983,5,15,52.86
1983,5,16,50.83
1983,5,17,47.70
1983,5,18,44.78
1983,5,19,43.91
1983,5,20,43.24
1983,5,21,42.23
1983,5,22,40.95
1983,5,23,39.06
1983,5,24,41.64
1983,5,25,46.21
1983,5,26,44.41
1983,5,27,42.34
1983,5,28,39.16
1983,5,29,35.86
1983,5,30,33.02
1983,5,31,37.59
1983,6,1,54.02
1983,6,2,57.10
1983,6,3,54.60
1983,6,4,58.85
1983,6,5,62.35
1983,6,6,61.70
1983,6,7,58.75
1983,6,8,58.29
1983,6,9,56.22
1983,6,10,55.12
1983,6,11,53.10
1983,6,12,50.02
1983,6,13,57.24
1983,6,14,83.68
1983,6,15,87.46
1983,6,16,85.31
